medallion, hack_license, vendor_id, pickup_datetime, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
21EF33AA5B34F791B9627087A59C2B13,81D753BF37DADFA0AB6DD2A246A81D32,CMT,2013-01-08 10:54:06,CSH,3.5,0,0.5,0,0,4
02BFD1B64C2C80B433D3A282C828912B,375201058CFE70CE40B69903041C2310,CMT,2013-01-01 19:41:43,CSH,8.5,0,0.5,0,0,9
1944EB168702ED8E6B9FD94E988D0197,1D24DD6F12731B59E72DD7CF387F5011,CMT,2013-01-08 08:30:16,CSH,8,0,0.5,0,0,8.5
CBA5A347BB1107C22444175A81393D41,AE3664048097EAEBF73CB279944741A6,CMT,2013-01-06 16:37:03,CSH,5,1,0.5,0,0,6.5
D5367E940A20B9D2550BF7CF7AE01681,5B34A2589D1D2106FC0C47564A4833F0,CMT,2013-01-08 10:08:49,CSH,8.5,0,0.5,0,0,9
37BDEA2E54A3B70CBFA5B0D1C3A75FE2,730A179A7F97126B694CABFB93CC3A0C,CMT,2013-01-08 07:49:28,CSH,10.5,0,0.5,0,0,11
0428E3DD09EA5A63D85509C7CA8C0199,A4B0B563E94A1C3ADA0B308161EDCB5A,CMT,2013-01-07 16:19:22,CSH,5.5,1,0.5,0,0,7
B33E71CD9E8FE1BE3B70FEB6E807DD15,BAF57796E45D921BB23217E17A372FF6,CMT,2013-01-06 00:15:44,CSH,12.5,0.5,0.5,0,0,13.5
7A9728FFD700148BF60616DA97FFC3C3,D25781FA72D2C328B9F120736E6CAA68,CMT,2013-01-08 10:59:25,CSH,5,0,0.5,0,0,5.5
4C005EEBAA7BF26B84B21586332488A2,351BE7D984BE17DB2FA80A748E816472,CMT,2013-01-07 20:49:38,CSH,28.5,0.5,0.5,0,4.8,34.3
DDB3F3E0172B1FBF0C9E39CA773CC6E3,559F071794B7213986693B57DCEDDEE5,CMT,2013-01-07 18:42:42,CSH,6.5,1,0.5,0,0,8
DDB3F3E0172B1FBF0C9E39CA773CC6E3,559F071794B7213986693B57DCEDDEE5,CMT,2013-01-07 20:19:22,CSH,5.5,0.5,0.5,0,0,6.5
32D306FD3A4D7CEDCFD8D644294DD5B7,05EACD5B806FC3D01A377606D37CF327,CMT,2013-01-08 10:17:06,CSH,16.5,0,0.5,0,0,17
0A3EF18FFD7FA5327C66C6B1CE068F3A,E8BD33FAF31C98E52D1E45A60216113B,CMT,2013-01-01 23:26:42,CSH,50.5,0.5,0.5,0,0,51.5
B14118AD4BF381D80035EF546CE7AEFA,9DCEE90343F24D475B3A19A3F10AE801,CMT,2013-01-10 14:11:57,CSH,14,0,0.5,0,0,14.5
C6CE309A20A523E64FDCDECF150A2EC1,3DC3C9552D190C5D26B0358C23E449A6,CMT,2013-01-10 12:08:05,CSH,5,0,0.5,0,0,5.5
C6CE309A20A523E64FDCDECF150A2EC1,3DC3C9552D190C5D26B0358C23E449A6,CMT,2013-01-10 07:07:59,CSH,13,0,0.5,0,0,13.5
5E162F2D7F569949769648C56A23C525,6F7932F2B112DAABF1F2A385FE2AB819,CMT,2013-01-08 03:13:19,CSH,26.5,0.5,0.5,0,0,27.5
82420BD631D2BB88E2F213A8CA15BECE,213779F7AA40E58009B3457E3FA7089D,CMT,2013-01-08 10:21:01,CSH,4.5,0,0.5,0,0,5
A5A69FAD94C3DC7854F9DDEA994B6380,178BA04DD1A4E3A184C86AA3F110A742,CMT,2013-01-10 10:08:28,CSH,15.5,0,0.5,0,0,16
A5A69FAD94C3DC7854F9DDEA994B6380,178BA04DD1A4E3A184C86AA3F110A742,CMT,2013-01-10 13:45:16,CSH,9,0,0.5,0,0,9.5
1ABD0BB8B7278A49B4F6502B59E1CEFB,AE49AF37C8856F2EA32953F207A9C339,CMT,2013-01-01 23:33:10,CSH,5,0.5,0.5,0,0,6
4728FA63A46613319446ED726626FED3,4A6C8D08FAB98E9C9B21399C5255EED0,CMT,2013-01-08 08:04:43,CSH,8.5,0,0.5,0,0,9
CD847FE5884F10A28217E9FBA11B275B,5FEFD00D9773268B72EE4E879852F190,CMT,2013-01-08 12:48:13,CSH,7,0,0.5,0,0,7.5
CD847FE5884F10A28217E9FBA11B275B,5FEFD00D9773268B72EE4E879852F190,CMT,2013-01-08 11:20:30,CSH,13,0,0.5,0,0,13.5
961D9C9506D105D3A7E88229F0487033,65683B8714DEF5F783E75E8111784177,CMT,2013-01-10 16:16:38,CSH,6,1,0.5,0,0,7.5
24BBC0F0660705A705213997B408E775,DFAAB8123DBA2696AFE3E289530BFDD1,CMT,2013-01-07 15:32:02,CSH,5,0,0.5,0,0,5.5
E71CDEFCB364DA0D385629612EE30642,C7259B75B62CB850082BDEB4149DC075,CMT,2013-01-07 18:42:01,CSH,5,1,0.5,0,0,6.5
B4B73C7B5D426BF5D77586628774409D,521E0E82FE5F1C8DDD7F019CE718C022,CMT,2013-01-07 20:44:18,CSH,4,0.5,0.5,0,0,5
BCE59CF7BF7FC3BCAF75E0DA610454AE,3D1DA149B5F4C3AF065249253EDAFE4F,CMT,2013-01-08 00:38:28,CSH,19,0.5,0.5,0,0,20
8C019CD008A70CC21058D22CF873E42E,EC35D26CEE8BBC5FAD8653358C7C194E,CMT,2013-01-08 03:50:07,CSH,5,0.5,0.5,0,0,6
8C019CD008A70CC21058D22CF873E42E,EC35D26CEE8BBC5FAD8653358C7C194E,CMT,2013-01-07 19:41:25,CSH,7,1,0.5,0,0,8.5
927778B147439831E9A9A478457D25E1,2E744AB076831794EAD3C3AE52FAAE8B,CMT,2013-01-07 09:54:33,CSH,8.5,0,0.5,0,0,9
24929E5F008DBC4C0E551B957F619910,F7C8E4BC689563E4562A9F52A04EE619,CMT,2013-01-08 15:47:04,CSH,14.5,0,0.5,0,0,15
24929E5F008DBC4C0E551B957F619910,F7C8E4BC689563E4562A9F52A04EE619,CMT,2013-01-08 10:38:07,CSH,52,0,0.5,0,4.8,57.3
BDEEBD1061513B74A562C671996AC37D,4AD765DA056982FF3FBB07B15E3EE833,CMT,2013-01-10 12:44:00,CSH,4,0,0.5,0,0,4.5
09C6A58617D39C6AF257965FE1EADADD,9E0AC254B3663DCB83FB6D514AA94F33,CMT,2013-01-07 07:00:28,CSH,4.5,0,0.5,0,0,5
F1C59489D7073DD8F1838DD0E905F47D,41BD3F0A3B9F226AF061931FECE16869,CMT,2013-01-07 19:28:53,CSH,8.5,1,0.5,0,0,10
826C0A320CFC98F461EA887C2F9D1509,AB97FEEAF9D7C32566773EA33D18E4AA,CMT,2013-01-08 11:19:08,CSH,11.5,0,0.5,0,0,12
84EF36B5618476EF69CAA413F8464108,BAC3A898EA6DE003F54EFFF3594BEE41,CMT,2013-01-05 09:50:38,CSH,7.5,0,0.5,0,0,8
251012565308E6E0E67550CFBBD253AB,8B204068A2EB2F13F762C05AC1F0B075,CMT,2013-01-05 19:52:03,CSH,14,0,0.5,0,0,14.5
B35B40A7C6563AAC24DF7566CD3434E1,D28B1ABE1ED4B3DC3C2C8B9D949F123A,CMT,2013-01-07 16:31:19,CSH,4.5,1,0.5,0,0,6
281BD3C8825FF093DCEC21A7E65697CE,2C2E05D913DBB61C7E5B334FFAEF6132,CMT,2013-01-07 18:03:30,CSH,4,1,0.5,0,0,5.5
BDEEBD1061513B74A562C671996AC37D,4AD765DA056982FF3FBB07B15E3EE833,CMT,2013-01-10 12:19:05,CSH,5.5,0,0.5,0,0,6
6C8288A327BA30EC477E601902DEE83A,56513BD62A237C81681F8A6225F150FE,CMT,2013-01-10 09:36:18,CSH,4,0,0.5,0,0,4.5
4351ACEF683BECBD3E283F324EB78460,D60F62D8BFC273D4B886BFC51EF3434A,CMT,2013-01-08 12:40:22,CSH,5,0,0.5,0,0,5.5
A954A71B6D44265AE756BF807E069396,D5CA7D478A14BA3BBFC20153C5C88B1A,CMT,2013-01-07 10:05:50,DIS,7,0,0.5,0,0,7.5
6502AF8DFACB2ED1E98C8E19E1F9B1FD,8F57E218C49D5545AF62D9EF159B625D,CMT,2013-01-07 10:42:22,CSH,6,0,0.5,0,0,6.5
50C1AEB304BCE14FCE2D6339B675393C,67DE3661852881262093FF46250AF928,CMT,2013-01-10 15:08:42,CSH,7.5,0,0.5,0,0,8
A5A8A43BC46B1407C12AC4D4E336BF29,F1FD273B5311056AEAEC7CFCFA3A019A,CMT,2013-01-07 16:33:18,CSH,3.5,1,0.5,0,0,5
D0AA7AE64A25B645CD2E4556E691EC0F,200D138C6C8CCA3578BA28B280FBC4E4,CMT,2013-01-10 14:27:05,CSH,3.5,0,0.5,0,0,4
237F49C3ECC11F5024B254268F054384,93C363DDF8ED9385D65FAD07CE3F5F07,CMT,2013-01-07 12:21:46,CSH,5.5,0,0.5,0,0,6
590D90160BD7C2673D47DBF107B10B3E,E3720119A91AB7C7A329088269009487,CMT,2013-01-07 22:21:59,CSH,16.5,0.5,0.5,0,0,17.5
B14118AD4BF381D80035EF546CE7AEFA,9DCEE90343F24D475B3A19A3F10AE801,CMT,2013-01-10 15:34:30,CSH,21.5,0,0.5,0,0,22
50296A056AF5D221536DC98ABB1E3274,4F3E6D0E69CABD8954F8A126D54C5C20,CMT,2013-01-08 00:30:46,CSH,21,0.5,0.5,0,0,22
2D4B95E2FA7B2E85118EC5CA4570FA58,CD2F522EEE1FF5F5A8D8B679E23576B3,CMT,2013-01-07 16:04:30,CSH,4.5,1,0.5,0,0,6
78FFD9CD0CDA541F335EF8B38FB494D6,E949C583ECF62C8F03FDCE1484954A08,CMT,2013-01-10 14:30:37,CSH,12,0,0.5,0,0,12.5
E9BA494DC1A1F26D186394EFBB8327CF,BBF604B3A2426BFBAAC982AAAA0BF1B5,CMT,2013-01-01 16:46:15,CSH,11,0,0.5,0,0,11.5
CD847FE5884F10A28217E9FBA11B275B,5FEFD00D9773268B72EE4E879852F190,CMT,2013-01-08 11:41:59,CSH,11.5,0,0.5,0,4.8,16.8
50296A056AF5D221536DC98ABB1E3274,4F3E6D0E69CABD8954F8A126D54C5C20,CMT,2013-01-08 02:09:40,CSH,6.5,0.5,0.5,0,0,7.5
A5A69FAD94C3DC7854F9DDEA994B6380,178BA04DD1A4E3A184C86AA3F110A742,CMT,2013-01-10 11:02:44,CSH,8.5,0,0.5,0,0,9
333D72A3E9C09AD9EFBF79F549EFA67B,ED57BB723A58FFF10DCA8AC08AC1B103,CMT,2013-01-01 16:06:51,CSH,11,0,0.5,0,0,11.5
333D72A3E9C09AD9EFBF79F549EFA67B,ED57BB723A58FFF10DCA8AC08AC1B103,CMT,2013-01-01 09:19:27,CSH,4,0,0.5,0,0,4.5
877AAB787A0BCD95781E7DA0770CCB1D,669DD2780CAF48FDADA9F55E816C7608,CMT,2013-01-07 20:48:02,CSH,12.5,0.5,0.5,0,0,13.5
1944EB168702ED8E6B9FD94E988D0197,1D24DD6F12731B59E72DD7CF387F5011,CMT,2013-01-08 11:12:48,CSH,10,0,0.5,0,0,10.5
26B6CDD419985C6F551F0FAE87EF3AA9,015760806341352ED97B0F79C8A873BC,CMT,2013-01-06 22:29:04,CSH,5,0.5,0.5,0,0,6
FC82D4D00FE8AB93B2973EECB3559EA8,F554ED01B1DA0828B956446E40231C46,CMT,2013-01-05 21:28:33,CSH,11,0.5,0.5,0,0,12
6893BD66639F1F6BD44F8AF1A2756145,C20D9C58D84686C59650065E23996936,CMT,2013-01-05 10:01:54,CSH,5.5,0,0.5,0,0,6
F6F7D02179BE915B23EF2DB57836442D,088879B44B80CC9ED43724776C539370,VTS,2013-01-13 04:36:00,CRD,12,0.5,0.5,1.75,0,14.75
BE386D8524FCD16B3727DCF0A32D9B25,4EB96EC9F3A42794DEE233EC8A2616CE,VTS,2013-01-13 04:37:00,CRD,12,0.5,0.5,3.12,0,16.12
E9FF471F36A91031FE5B6D6228674089,72E0B04464AD6513F6A613AABB04E701,VTS,2013-01-13 04:41:00,CRD,5.5,0.5,0.5,1.2,0,7.7
E4CF46763B08F900DC762EDEB6C37D2D,92A6C54F05688F8E5CD2E32BBCB4FBA9,VTS,2013-01-13 04:39:00,CSH,13,0.5,0.5,0,0,14
A5D125F5550BE7822FC6EE156E37733A,08DB3F9FCF01530D6F7E70EB88C3AE5B,VTS,2013-01-13 04:37:00,CRD,11,0.5,0.5,2,0,14
1E65B7E2D1297CF3B2CA87888C05FE43,F9ABCCCC4483152C248634ADE2435CF0,VTS,2013-01-13 04:26:00,CSH,15.5,0.5,0.5,0,0,16.5
