medallion,hack_license,vendor_id,rate_code,store_and_fwd_flag,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude
0B57B9633A2FECD3D3B1944AFC7471CF,CCD4367B417ED6634D986F573A552A62,CMT,1,N,2013-01-07 10:35:10,2013-01-07 10:42:36,1,446,1.20,-73.965843,40.758705,-73.978134,40.752731
0B57B9633A2FECD3D3B1944AFC7471CF,CCD4367B417ED6634D986F573A552A62,CMT,1,N,2013-01-07 14:46:55,2013-01-07 14:55:46,1,530,1.10,-73.981796,40.758862,-73.967239,40.7617
E12F6AF991172EAC3553144A0AF75A19,06918214E951FA0003D1CC54955C2AB0,CMT,1,N,2013-01-08 15:17:50,2013-01-08 15:25:00,1,429,1.20,-73.977318,40.764542,-73.981895,40.779526
2C0E91FF20A856C891483ED63589F982,1DA2F6543A62B8ED934771661A9D2FA0,CMT,1,N,2013-01-07 18:24:11,2013-01-07 18:36:15,1,724,2.30,-73.986534,40.7342,-73.987869,40.75914
78FFD9CD0CDA541F335EF8B38FB494D6,E949C583ECF62C8F03FDCE1484954A08,CMT,1,N,2013-01-10 12:20:38,2013-01-10 12:28:26,1,468,.60,-73.96666,40.773125,-73.971802,40.765766
FAE1370A694D0621FAE1E62FAFD64080,265B3D7D30A9B7AE389A2626F6825266,CMT,1,N,2013-01-07 10:15:19,2013-01-07 10:20:10,1,290,1.00,-73.958649,40.768791,-73.970909,40.76149
32D306FD3A4D7CEDCFD8D644294DD5B7,05EACD5B806FC3D01A377606D37CF327,CMT,1,Y,2013-01-08 13:56:41,2013-01-08 14:08:29,2,707,2.00,-73.975922,40.744606,-73.998146,40.729076
D8AADA4E722C87C10E609654612630DD,8F1E4F779A4D67431C3FCFA4E70A87DC,CMT,1,N,2013-01-10 17:19:42,2013-01-10 17:51:18,1,1896,5.90,-73.963608,40.774113,-73.944038,40.717518
A5A69FAD94C3DC7854F9DDEA994B6380,178BA04DD1A4E3A184C86AA3F110A742,CMT,1,N,2013-01-10 13:16:11,2013-01-10 13:26:46,1,635,2.40,-73.958481,40.761166,-73.986542,40.749397
7D99C30FCE69B1A9DD27E2AEAC9BFA0C,460C3F57DD9CB2265DB75B14CD70224D,CMT,1,N,2013-01-08 00:02:36,2013-01-08 00:05:56,1,200,.70,-73.985573,40.747375,-73.983879,40.739223
5E162F2D7F569949769648C56A23C525,6F7932F2B112DAABF1F2A385FE2AB819,CMT,1,N,2013-01-07 17:54:25,2013-01-07 18:00:25,1,360,2.20,-73.985184,40.773998,-73.964737,40.801834
82420BD631D2BB88E2F213A8CA15BECE,213779F7AA40E58009B3457E3FA7089D,CMT,1,N,2013-01-08 10:38:22,2013-01-08 10:56:19,1,1076,3.10,-73.967682,40.751221,-73.995232,40.717422
1836E1591EE79F810104064B945747AB,18EDD3FC80A78DC262E2442FEEA55F01,CMT,1,N,2013-01-07 20:13:25,2013-01-07 20:25:01,1,695,3.60,-74.007469,40.708904,-73.981888,40.67767
1836E1591EE79F810104064B945747AB,18EDD3FC80A78DC262E2442FEEA55F01,CMT,1,N,2013-01-08 01:15:53,2013-01-08 01:23:09,1,435,1.90,-73.9925,40.758308,-73.96714,40.76078
8FCED8833E91F75673B4B4B4A7D720AB,C8DB0DEAF651336169544E466AFF2DA1,CMT,1,N,2013-01-07 18:12:27,2013-01-07 18:19:41,1,433,2.20,-73.982315,40.774441,-73.965904,40.801422
47CFD616C057758044C57D1B4BEFE759,A6DCBA545B1E1A2DC24BFEE1C0A54029,CMT,1,N,2013-01-07 18:45:40,2013-01-07 19:00:14,1,874,1.90,-73.977676,40.746544,-73.999458,40.738972
4728FA63A46613319446ED726626FED3,4A6C8D08FAB98E9C9B21399C5255EED0,CMT,1,N,2013-01-08 11:33:23,2013-01-08 11:48:13,1,889,.60,-73.987732,40.751884,-73.98172,40.746529
0C5296F3C8B16E702F8F2E06F5106552,D2363240A9295EF570FC6069BC4F4C92,CMT,1,N,2013-01-07 20:46:10,2013-01-07 21:06:01,1,1190,12.30,-73.864861,40.770428,-74.006653,40.707874
0CC08DE5645A7137059499EA11886805,4F2627F9FD34A9B9EFCCFC5147048345,CMT,1,N,2013-01-07 18:45:14,2013-01-07 18:52:54,3,459,.90,-73.979706,40.758427,-73.985558,40.747265
961D9C9506D105D3A7E88229F0487033,65683B8714DEF5F783E75E8111784177,CMT,1,N,2013-01-10 15:17:20,2013-01-10 15:28:22,1,661,1.00,-73.988495,40.737442,-73.988106,40.7491
1159BD618BE1D4A90D522416A77AC29A,9964A99249A4888E2C6AE55BA78A6F64,CMT,1,N,2013-01-10 15:04:11,2013-01-10 15:07:35,1,204,.70,-73.980118,40.754601,-73.988045,40.748962
FA3DD236E7627E99646337C5218EA281,37A4843DC4AA9F62DBF4CA42F359E0D3,CMT,1,N,2013-01-08 13:16:48,2013-01-08 13:32:24,1,936,2.20,-74.004578,40.707554,-73.99247,40.734222
FA3DD236E7627E99646337C5218EA281,37A4843DC4AA9F62DBF4CA42F359E0D3,CMT,1,N,2013-01-08 15:33:16,2013-01-08 15:48:56,1,940,1.60,-73.945915,40.786156,-73.971581,40.794956
38CA8BCB4180F32BEDE6FE085F4E445E,CE7A3E2632A838C9C02334D65E4355AF,CMT,1,N,2013-01-07 22:35:11,2013-01-07 22:59:29,1,1457,16.10,-73.790016,40.644058,-73.956703,40.747852
C28DA92FB1D60B9EBFB7EFA6AE6C4577,979AF867DF1D4CF290467D47E5BD20CA,CMT,1,N,2013-01-07 18:48:51,2013-01-07 18:56:16,1,445,1.20,-73.998337,40.746025,-73.981255,40.747223
DDB3F3E0172B1FBF0C9E39CA773CC6E3,559F071794B7213986693B57DCEDDEE5,CMT,1,N,2013-01-07 22:19:19,2013-01-07 22:39:02,1,1182,11.40,0,0,0,0
B14118AD4BF381D80035EF546CE7AEFA,9DCEE90343F24D475B3A19A3F10AE801,CMT,1,N,2013-01-10 10:31:05,2013-01-10 10:46:35,2,930,2.40,-73.982079,40.763794,-74.003113,40.731106
50296A056AF5D221536DC98ABB1E3274,4F3E6D0E69CABD8954F8A126D54C5C20,CMT,4,N,2013-01-08 02:22:17,2013-01-08 02:24:47,1,150,.50,-73.99469,40.750191,-73.990089,40.757217
